"Name","Marché","ID CRM","Niche","Statut","Score","Ville / Localisation","Site web","Décideur","Titre décideur","Email décideur","LinkedIn décideur","Email société","Téléphone","Signaux / Signal","Notes"
"Acti-One","France","l206","Helpdesk IT — ESN/MSP","nouveau","45","Lyon 8e — 45 rue Maryse Bastié","","Jérôme Niochet","Dirigeant","","","","04 78 02 79 40","Pôle acti CARE (santé) = passerelle vers l'offre télésec médical Salverys — double angle MB","MB | Lyon 8e — 45 rue Maryse Bastié | Services managés IT + télécoms + santé depuis 1999 (26 ans), 3 pôles : acti CONNECT / acti PHONE / acti CARE | Angle santé intéressant (synergie niche médicale Salverys) | Décideur : Jérôme Niochet (dirigeant) | Source : acti-one.fr [Session 2026-07-13 #2]"
"ES Protect","France","l207","Helpdesk IT — ESN/MSP","nouveau","5","","","","","","","","","","🚫 DISQUALIFIÉ (2026-07-13) : esprotect.fr est un MÉDIA/GUIDE (comparateur assurance, conformité, cyber, sécurité maison) — PAS un prestataire IT/MSP. L'article ""service informatique PME"" qui avait motivé l'ajout est un contenu éditorial. Aucune équipe helpdesk à sous-traiter. Ne pas contacter. [Session 2026-07-13 #2]"
"Value IT","France","l208","Helpdesk IT — ESN/MSP","nouveau","45","Siège Saint-Étienne (42) — 27 rue de la Télématique + agences Lyon/Paris/Annecy/Carcassonne","","Jeremy Orlowski","Dirigeant","","","contact@value-info.fr","09 70 24 01 80","5 implantations pour une PME = couverture support étirée — débordement N1 MB pertinent","MB | Siège Saint-Étienne (42) — 27 rue de la Télématique + agences Lyon/Paris/Annecy/Carcassonne | Infogérance + télécoms + cyber PME, SIREN 820750040 | Angle : N1 marque blanche multi-agences | Décideur : Jeremy Orlowski (dirigeant) | Source : societe.com + value-info.fr [Session 2026-07-13 #2]"
"Helpline (groupe Everience)","France","l209","Support applicatif N1","nouveau","72","Nanterre / IDF","","Cyril Mesquida","COO — Directeur des Opérations, Helpline","","","","","Croissance groupe Everience (objectif 500 M€, 100+ recrutements 2026), volume N1 à absorber, aucune présence Afrique — partenariat white-label débordements N1","MB PARTENARIAT | Nanterre / IDF | Donneur d'ordres service desk IT ~2 500 pers, 200+ clients dont 50 % CAC 40, groupe Everience (objectif 500 M€) | Angle : absorber les débordements N1 sous leur marque — aucune présence Afrique à ce jour | Ordre d'approche : 1) Cyril Mesquida COO Helpline · 2) Jérôme Lehmann DG Everience · 3) Bernard Lewis Président | Format email : prenom.nom@everience.com | Fiche complète : 03-Cibles-Prospects/DECISION-MAKERS-Helpline-Everience.md [Session 2026-07-13]"
"Sellsy","France","l210","Support applicatif N1","nouveau","60","La Rochelle (17) — av. du Lazaret, Centre d'Affaires Nautiques","","Victor Douek","Président","","","","","Changement de gouvernance récent = fenêtre de réexamen des coûts support ; base PME à fort volume de tickets","MB | La Rochelle (17) — av. du Lazaret, Centre d'Affaires Nautiques | Éditeur SaaS CRM + facturation PME françaises, ~100-150 pers | Volume tickets TPE/PME élevé, support 100 % FR indispensable | Angle : ETP N1 dédiés sous marque Sellsy, leurs outils/scripts, SLA 1re réponse | Décideur : Victor Douek (Président depuis 01/2024) — ⚠️ gouvernance mouvementée (démissions conseil de surveillance oct. 2025) : vérifier l'organigramme avant E1, viser aussi le Head of Support | Source : pappers [Session 2026-07-13 #2]"
"EBP Informatique","France","l211","Support applicatif N1","nouveau","58","Rambouillet (78)","","","","","","","","","MB | Rambouillet (78) | Éditeur historique gestion/compta/paie TPE-PME, très gros volume support téléphonique avec pics saisonniers (clôtures, déclaratif, paie) | Angle : débordement N1 marque blanche sur les pics | Décideur : Dir. Relation Client / Support à identifier | À qualifier : part du support déjà externalisée [Session 2026-07-13]"
"Axonaut","France","l212","Support applicatif N1","nouveau","62","Toulouse (31) — IoT Valley","","Nicolas Ricard","Cofondateur & CEO","","","","","+43 % de CA en 1 an (10 M€, 12 000 clients TPE) en restant autofinancé = pression coûts support maximale — profil idéal MB N1","MB | Toulouse (31) — IoT Valley | Éditeur SaaS ERP/CRM TPE, créé 2017, autofinancé | 🔥 Signal fort : CA 10 M€ en 2025 (vs 7 M€ 2024, +43 %), 12 000 entreprises clientes, 189 000 utilisateurs — le support suit-il ? | Angle : ETP N1 marque blanche pour absorber la croissance sans recruter | Décideur : Nicolas Ricard (Cofondateur & CEO) — structure compacte, contact direct fondateur justifié | Cofondateur technique : Nicolas Michel (CTO) | Source : presse 2025-2026 + theorg [Session 2026-07-13 #2]"
"Yousign","France","l213","Support applicatif N1","nouveau","55","Caen (14)","","Luc Pallavidino","CEO & Cofondateur","","","","","Base self-serve massive = tickets N1 répétitifs, parfaits pour scripts MB","MB | Caen (14) | Signature électronique, forte base self-serve = volume N1 récurrent | Angle : N1 marque blanche FR natif, SLA 1re réponse | Décideur : Luc Pallavidino (CEO cofondateur) en sponsor — viser d'abord le Head of Customer Care (structure ~200 pers) | Source : crunchbase/rocketreach [Session 2026-07-13 #2]"
"Septeo","France","l214","Support applicatif N1","nouveau","55","Montpellier (34)","","","","","","","","","MB | Montpellier (34) | Groupe éditeurs verticaux (legal, immobilier, notariat…), ~3 000 pers, croissance par acquisitions = supports produits multiples | Angle : N1 mutualisé marque blanche par ligne produit | Décideur : Dir. Support Groupe / Dir. Delivery à identifier — pas le CEO | Cycle long (taille) [Session 2026-07-13]"
"Pennylane","France","l215","Support applicatif N1","nouveau","52","Paris","","Arthur Waller","Cofondateur & CEO (sponsor — viser le Head of Support en premier)","","","","","Hypercroissance ARR = files de tickets qui explosent ; arbitrage make-or-buy support en continu","MB | Paris | SaaS compta en hypercroissance (~115 M€ ARR, experts-comptables + PME) | Files de tickets en croissance = douleur ICP | Décideur opérationnel : Head of Support à identifier — Arthur Waller (Cofondateur & CEO) = sponsor uniquement (structure trop grande pour approche CEO directe) | Risque : forte capacité à internaliser (levées importantes) — qualifier le make-or-buy tôt | Source : crunchbase/theorg [Session 2026-07-13 #2]"
"Agicap","France","l216","Support applicatif N1","nouveau","52","Lyon (69)","","","","","","","","","MB | Lyon (69) | SaaS gestion de trésorerie PME/ETI, croissance forte | Angle : N1 marque blanche FR | Décideur : Head of CS / Support à identifier (CEO non confirmé en recherche — compléter via LinkedIn) | À qualifier avant E1 [Session 2026-07-13 #2]"
"Orisha","France","l217","Support applicatif N1","nouveau","50","Paris","","","","","","","","","MB | Paris | Groupe éditeurs verticaux (santé, retail, agri, immobilier), croissance par acquisitions | Même angle que Septeo : N1 marque blanche multi-produits | Décideur : Dir. Support / Ops à identifier | À qualifier avant E1 [Session 2026-07-13]"
"Lucca","France","l218","Support applicatif N1","nouveau","50","Paris","","Gilles Satgé","CEO Fondateur (sponsor — viser le Head of Support en premier)","","","","","Pics saisonniers cycles paie = besoin d'élasticité support que le MB couvre sans recruter","MB | Paris | Éditeur SIRH PME/ETI (paie, congés, notes de frais), plusieurs centaines de pers | Pics de support calés sur les cycles paie | Décideur opérationnel : Head of Support à identifier — Gilles Satgé (CEO fondateur) = sponsor | Source : craft.co [Session 2026-07-13 #2]"
"Sarbacane","France","l219","Support applicatif N1","nouveau","48","Hem (59) — 3 av. Antoine Pinay","","Mathieu Tarnus","CEO Groupe Positive (ex-Groupe Sarbacane)","mathieu.tarnus@sarbacane.com","","","03 28 32 80 40","Groupe multi-marques (Sarbacane, Tipimail, Mailify…) = supports multiples mutualisables en MB","MB | Hem (59) — 3 av. Antoine Pinay | Éditeur emailing/marketing (Groupe Positive depuis 2022), support FR revendiqué comme différenciateur → exigence qualité élevée : français natif = argument clé Salverys | Décideur : Mathieu Tarnus (CEO Groupe Positive, à la tête depuis 2010) | Email probable : mathieu.tarnus@sarbacane.com (confiance moyenne — vérifier avant envoi) | Source : Wikipédia + rocketreach [Session 2026-07-13 #2]"
"Libeo","France","l220","Support applicatif N1","nouveau","45","Paris","","Pierre Dutaret","CEO & Cofondateur","pierre@libeo.io","","","","Fintech B2B : tickets paiement sensibles → besoin N1 FR de confiance, MB adapté","MB | Paris | SaaS paiement fournisseurs B2B | Angle : N1 marque blanche | Décideur : Pierre Dutaret (CEO cofondateur) — email public revendiqué : pierre@libeo.io (source FF News, à vérifier) | À qualifier : volume tickets réel [Session 2026-07-13 #2]"
"Actual Systèmes","France","l221","Helpdesk IT — ESN/MSP","nouveau","68","France (ville à qualifier — site anti-scraping)","","","","","","","","","MB | France (ville à qualifier — site anti-scraping) | ⚡ VEND DÉJÀ des solutions MSP en MARQUE BLANCHE aux ESN/prestataires IT (supervision, sauvegarde, sécurité, infogérance) « sans mobiliser vos équipes internes » | Profil Oxxodata/NowServiceDesk : ne pas leur vendre de la sous-traitance — proposer d'ÊTRE la couche humaine N1 derrière leur offre MB (1 deal = tout leur portefeuille ESN) | Décideur : dirigeant à identifier (pappers/LinkedIn) | Source : actualsystemes.com [Session 2026-07-13 #3]"
"Infiny Link","France","l222","Helpdesk IT — ESN/MSP","nouveau","58","Bièvres (91) — MSP IDF (Yvelines/Essonne/92) fondé en 2005","","Emmanuel Bonnefond","Cofondateur (avec Oscar Almecija)","","","","","Offre 24/7 + SLA garantis en effectif PME = tension astreintes ; membre CJD = réseau dirigeants ouvert au dialogue","MB | Bièvres (91) — MSP IDF (Yvelines/Essonne/92) fondé en 2005 | Services managés complets : monitoring 24/7, EDR, SLA garantis pour PME | Angle : le 24/7 affiché avec une équipe PME = créneau matinal/astreintes structurellement coûteux → N1 MB UTC+3 | Décideurs : Emmanuel Bonnefond & Oscar Almecija (cofondateurs, membre CJD) — petite structure, contact direct fondateurs | Source : infinylink.fr + annuaire-entreprises (SIREN 484710611) [Session 2026-07-13 #3]"
"ActuelBuro","France","l223","Helpdesk IT — ESN/MSP","nouveau","52","Sud-Ouest — Bordeaux, Dax, Mont-de-Marsan, Toulouse","","","","","","","","","MB | Sud-Ouest — Bordeaux, Dax, Mont-de-Marsan, Toulouse | Infogérance « informatique pilotée 24/7 », interventions site + distance, réseau multi-agences | Angle : couverture 24/7 multi-sites sans plateau nuit → N1 MB UTC+3 sur le créneau 6h-9h | Décideur : DG à identifier | Source : actuelburo.fr [Session 2026-07-13 #3]"
"Quietic","France","l224","Helpdesk IT — ESN/MSP","nouveau","48","Nantes (44)","","","","","","","","","MB | Nantes (44) | MSP proactif TPE/PME + cybersécurité, discours orienté dirigeants | Angle : soupape N1 marque blanche (overflow + pics) pour MSP régional en croissance | Décideur : fondateur/DG à identifier (petite structure → contact direct) | Source : quietic.fr [Session 2026-07-13 #3]"
"MaDSI","France","l225","Helpdesk IT — ESN/MSP","nouveau","45","Nantes (44)","","","","","","","","","MB | Nantes (44) | MSP infogérance PME/TPE — maintenance + solutions IT | Décideur : dirigeant à identifier | Source : madsi.fr — à qualifier (taille, signal RH) [Session 2026-07-13 #3]"
"Comète Informatique","France","l226","Helpdesk IT — ESN/MSP","nouveau","45","Rennes (35)","","","","","","","","","MB | Rennes (35) | Infogérance + gestion de parc + dépannage PME | Décideur : dirigeant à identifier | Source : comete-informatique.com — à qualifier [Session 2026-07-13 #3]"
"CLEV'IT","France","l227","Helpdesk IT — ESN/MSP","nouveau","48","Lille métropole (59)","","","","","","","","","MB | Lille métropole (59) | MSP externalisation IT + cybersécurité PME, approche CO-MANAGÉE (complète les équipes IT internes du client) | Angle : le co-managé = exactement le modèle où un N1 MB s'insère sans friction | Décideur : dirigeant à identifier | Source : clevit.fr [Session 2026-07-13 #3]"
"UltraNova","France","l228","Helpdesk IT — ESN/MSP","nouveau","45","Strasbourg (67)","","","","","","","","","MB | Strasbourg (67) | Infogérance PME/ETI « à taille humaine » | Angle : Grand Est non couvert par les autres cibles — N1 MB en débordement | Décideur : dirigeant à identifier | Source : ultranova.fr — à qualifier [Session 2026-07-13 #3]"
"Acteis","France","l229","Helpdesk IT — ESN/MSP","nouveau","45","Bordeaux (33)","","","","","","","","","MB | Bordeaux (33) | Maintenance + infogérance solutions informatiques PME (acteis-so.fr) | Décideur : dirigeant à identifier | À qualifier (taille, signal RH) [Session 2026-07-13 #3]"
"IT Systèmes","France","l230","Helpdesk IT — ESN/MSP","nouveau","40","France (ville à qualifier)","","","","","","","","","MB | France (ville à qualifier) | MSP services managés + support + supervision IT (itsystemes.fr) | Décideur : dirigeant à identifier | À qualifier [Session 2026-07-13 #3]"
"My-MSP","France","l231","Helpdesk IT — ESN/MSP","nouveau","40","Auvergne-Rhône-Alpes","","","","","","","","","MB | Auvergne-Rhône-Alpes | Services managés informatiques PME (my-msp.com) | Décideur : dirigeant à identifier | À qualifier [Session 2026-07-13 #3]"
"IPE","France","l232","Helpdesk IT — ESN/MSP","nouveau","40","France (ville à qualifier)","","","","","","","","","MB | France (ville à qualifier) | MSP services managés + infogérance (ipe.fr, contenu pédagogique MSP actif) | Décideur : dirigeant à identifier | À qualifier [Session 2026-07-13 #3]"
"Skello","France","l233","Support applicatif N1","nouveau","62","Paris + hub Lille","","","","","","","","","MB | Paris + hub Lille | SaaS planification RH équipes terrain (resto, retail, santé) | 🔥 Signaux forts 2025-2026 : 50 M€+ ARR, rentable, 30 000 entreprises clientes, 700 000 utilisateurs/jour, levée 200 M€ (Bridgepoint) pour consolider l'Europe, hub Lille 50→100 recrutements | Utilisateurs terrain = appels/tickets N1 volumineux et répétitifs (planning, pointage, paie) — parfait pour scripts MB | Décideur : Head of Support / Customer Care à identifier (structure 400+ → pas le CEO) | ⚠️ Risque : capacité à internaliser (rentable + levée) — qualifier make-or-buy tôt | Source : frenchweb/rhmatin 2026 [Session 2026-07-13 #3]"
"Combo","France","l234","Support applicatif N1","nouveau","55","Paris","","","","","","","","","MB | Paris | SaaS gestion RH TPE-PME terrain (resto, retail) | Signal : acquisition d'Arhia = intègre désormais la PAIE → support N1 critique (une paie bloquée = appel immédiat), volume tickets en hausse structurelle | Clientèle TPE = gros volume N1 basique | Décideur : Head of Support / CS à identifier | Source : presse 2026 [Session 2026-07-13 #3]"
"Zenchef","France","l235","Support applicatif N1","nouveau","52","Paris","","","","","","","","","MB | Paris | Suite SaaS restauration (réservation en ligne, menu digital, paiement à table) | Clientèle restaurateurs = N1 en horaires décalés (soir, week-end) là où un support FR interne coûte cher → angle créneaux étendus UTC+3 | Décideur : Head of Support / CS à identifier | À qualifier : organisation support actuelle [Session 2026-07-13 #3]"
"Constellation","France","l236","Helpdesk IT — ESN/MSP","nouveau","62","Saint-Cloud (92)","","","","","","","","","MB | Saint-Cloud (92) | Intégrateur ~500 pers, CA proforma 100 M€+ | 🔥 Signaux : levée 70 M€ (Qualium Investissement — CDC 30 %) + acquisitions en série (Clariteam ~100 pers, Group DIS…) = intégration d'équipes hétérogènes + tension capacité delivery | Angle : soupape N1 marque blanche pendant la consolidation, créneau 7h-9h UTC+3 | Taille moyenne-grande → viser le Directeur Delivery / DG Ops (PAS le Président) ; ex-dirigeants Clariteam intégrés au groupe (Pascal Joubert, Ludovic Lurand, Etienne Barbier, Julien Regnard) = portes d'entrée possibles | Source : ChannelNews/Distributique [Session 2026-07-13 #4]"
"Log'in Line","France","l237","Helpdesk IT — ESN/MSP","nouveau","55","France (ville à qualifier)","","","","","","","","","MB | France (ville à qualifier) | Infogérance pour startups/scale-ups tech — n°1 du classement infogérance cloud 2026 (loginline.com), « champion des startups » | Angle : clientèle scale-ups = croissance des volumes N1 plus rapide que le staffing ; SLA startups = réactivité premier niveau critique | Décideur : fondateur/DG à identifier | À qualifier : effectif, offre service desk exacte [Session 2026-07-13 #4]"
"Enix","France","l238","Helpdesk IT — ESN/MSP","nouveau","50","Paris (à confirmer)","","","","","","","","","MB | Paris (à confirmer) | Infogérance de plateformes web critiques pour scale-ups et PME à enjeux techniques lourds (top 3 classement 2026) | Angle : plateformes critiques = astreintes 24/7 → un N1 MB filtre la nuit/le matin et n'escalade que le vrai P1 | Décideur : fondateur/DG à identifier (structure experte compacte) | À qualifier [Session 2026-07-13 #4]"
"NeoOne","France","l239","Helpdesk IT — ESN/MSP","nouveau","50","France (ville à qualifier)","","","","","","","","","MB | France (ville à qualifier) | Positionné sur la MARQUE BLANCHE MSP (neoone.expert publie le comparatif « plateforme MSP marque blanche France ») | ⚠️ À qualifier en premier : opérateur de services MB (→ profil Actual Systèmes/Oxxodata : proposer d'être la couche humaine N1 derrière leur offre) ou simple cabinet de conseil (→ prescripteur potentiel) | Décideur : dirigeant à identifier | [Session 2026-07-13 #4]"
"ACI Technology","France","l240","Helpdesk IT — ESN/MSP","nouveau","48","Bois-Colombes (92) — 2 rue Jean Jaurès","","","","","","","","","MB | Bois-Colombes (92) — 2 rue Jean Jaurès | Infogérance + réseau + cybersécurité PME exigeantes, 20 ans, certifiée ISO/IEC 20000-1 + 27001 | Angle : les certifs ISO = process documentés → un N1 MB s'insère proprement dans leur cadre ITSM | Décideur : dirigeant à identifier | Source : acitechnology.eu [Session 2026-07-13 #4]"
"Naitways","France","l241","Helpdesk IT — ESN/MSP","nouveau","50","Boulogne-Billancourt (92), fondée 2008","","Jeremy Spy","Cofondateur (avec Nguyen Minh Hoa)","","","","","PE Andera au capital = croissance rentable exigée ; hébergement infogéré = N1 récurrent | Vigilance discours souveraineté","MB | Boulogne-Billancourt (92), fondée 2008 | Opérateur cloud + réseau + hébergement infogéré PME/ETI, CA 15,8 M€ (2023), PE Andera Partners = pression croissance rentable | Décideurs : Jeremy Spy & Nguyen Minh Hoa (cofondateurs) | ⚠️ Vigilance : positionnement « cloud 100 % français » — cadrer le discours : le N1 MB reste sous leur marque, données hébergées en France, seule la voix est à Tana | Source : pappers (SIREN 508823614) + anderapartners.com [Session 2026-07-13 #4]"
"EzWay Technology","France","l242","Helpdesk IT — ESN/MSP","nouveau","38","France (ville à qualifier)","","","","","","","","","MB | France (ville à qualifier) | Infogérance PME (guides tarifs/SLA actifs = acquisition SEO en cours → structure en développement commercial) | Décideur : dirigeant à identifier | À qualifier : taille et réalité opérationnelle [Session 2026-07-13 #4]"
"Quodagis","France","l243","Helpdesk IT — ESN/MSP","nouveau","62","Nanterre (92) + centre de services AURILLAC (15)","","Roland Mor","Président (Eric Schirmann, fondateur associé-dirigeant, en n°2)","","","","","Centre de services Aurillac = modèle nearshore assumé → ouverts à l'argument coût/couverture horaire ; croissance groupe (ChannelNews) ; cœur de métier service desk = compréhension immédiate de l'offre","MB | Nanterre (92) + centre de services AURILLAC (15) | Groupe ESN spécialiste ITSM / Enterprise Service Management + services managés cyber | 🔥 Cœur de métier = SERVICE DESK (publient « Service Desk : faire ou faire-faire ») avec centre de services nearshore FR à Aurillac | Angle : débordement + extension horaire (soir/7h-9h/week-end) de leur centre Aurillac — même logique nearshore, coût inférieur | Décideurs : Roland Mor (Président) + Eric Schirmann (fondateur, associé-dirigeant) — groupe structuré → viser aussi le Dir. du centre de services | Source : pappers + ChannelNews + quodagis.fr [Session 2026-07-13 #5]"
"Ozitem","France","l244","Helpdesk IT — ESN/MSP","nouveau","55","Levallois-Perret (92)","","François Espieux","PDG (sponsor — viser le Dir. Delivery en premier)","","","","","Infogérance TPE/PME en promotion active (blog) = volume N1 en croissance ; DGA Stéphane Fontaine = 2e entrée","MB | Levallois-Perret (92) | Cloud + services managés + infogérance, SA de 37 ans, 250-499 salariés (2023), capital 1,14 M€ | Taille moyenne → viser le Directeur Delivery / Resp. centre de services, François Espieux (PDG) et Stéphane Fontaine (DGA) en sponsors | Angle : soupape N1 marque blanche sur les contrats d'infogérance TPE/PME qu'ils promeuvent | Source : pappers (SIREN 347758559) + societe.com [Session 2026-07-13 #5]"
"AntemetA","France","l245","Helpdesk IT — ESN/MSP","nouveau","52","IDF (ville à confirmer)","","","","","","","","","MB | IDF (ville à confirmer) | Acteur FR de référence cloud privé/hybride managé : IaaS, BaaS/DRaaS, Kubernetes + INFOGÉRANCE 24/7 | Angle : le 24/7 contractuel = astreintes nuit/matin coûteuses → N1 MB UTC+3 filtre et n'escalade que le vrai P1 | Décideur : Dir. Opérations / Delivery à identifier | Source : antemeta.fr + cloudtango [Session 2026-07-13 #5]"
"Hexanet","France","l246","Helpdesk IT — ESN/MSP","nouveau","50","Reims (51) — siège historique + agences","","","","","","","","","MB | Reims (51) — siège historique + agences | Opérateur IT régional depuis 1997 : cloud, télécom, téléphonie, hébergement (datacenters propres), infogérance/services managés | Angle : Grand Est peu couvert + opérateur multi-services = support mutualisé sous tension | Décideur : dirigeant / Dir. services managés à identifier | Source : hexanet.fr + societe.com (SIREN 487555682) [Session 2026-07-13 #5]"
"Groupe Asten","France","l247","Helpdesk IT — ESN/MSP","nouveau","48","Brest / Le Relecq-Kerhuon (29)","","Jean-Christophe Cagnard","Fondateur","","","","","Croissance + partenariat éditeur Kerhis (2026) = nouveaux volumes support | Vigilance discours souveraineté","MB | Brest / Le Relecq-Kerhuon (29) | ESN bretonne fondée 1995 par Jean-Christophe Cagnard : cloud, cyber, lab, retail — 140 salariés, 17,5 M€ CA (2024) | ⚠️ Vigilance : se positionne « architecte de la souveraineté numérique » → cadrer comme Naitways (marque et données restent FR, seule la voix est à Tana) | Décideur : Jean-Christophe Cagnard (fondateur) — taille 100-200 : viser aussi le resp. exploitation/services | Source : bretagne-economique.com + societe.com (SIREN 441614443) [Session 2026-07-13 #5]"
"Axido","France","l248","Helpdesk IT — ESN/MSP","nouveau","50","Paris / IDF","","","","","","","","","MB | Paris / IDF | Infogérance PME 20+ ans : support ILLIMITÉ, supervision temps réel, maintenance proactive — clients Bercy/Opéra/Sentier | Angle : le support illimité forfaitaire = marge rongée par chaque ticket → un N1 MB à coût fixe inférieur protège la marge | BU infogérance du groupe Proxiteam | Décideur : dirigeant / Dir. BU infogérance à identifier | Source : axido.fr + proxiteam.fr [Session 2026-07-13 #6]"
"Leader System","France","l249","Helpdesk IT — ESN/MSP","nouveau","45","Île-de-France","","","","","","","","","MB | Île-de-France | Infogérance PME depuis 1993 (30+ ans) | Angle : acteur historique IDF, N1 MB en débordement | Décideur : dirigeant à identifier | Source : leader-system.fr — à qualifier (taille, signal RH) [Session 2026-07-13 #6]"
